,close,h_o,pct_chng,RSI,ATR,EMA_20
19,2582.8,0.007743531150863659,0.08912997902346023,51.459882913708846,6.511030839084843,2577.94
20,2579.0,0.22877075270618702,-0.14712709186655037,47.383507876221266,6.467385779150218,2578.0409523809526
21,2575.5,0.21355068392518578,-0.13958352154490689,43.93165678247556,6.4197153663537865,2577.7989569161
22,2575.5,0.11648219123191954,-0.011646862471137399,43.93165678247556,6.268307125899958,2577.580008638376
23,2581.9,0.08133541913496717,0.2484953412947652,51.434621705263496,6.427713759764247,2577.991436387102
24,2583.6,0.054187933817957605,0.06584295834735018,53.225150154100966,6.254305634066801,2578.525585302616
25,2570.0,0.7392993232298353,-0.6609714889368412,40.39443960822599,7.793283803062043,2577.713624797605
26,2572.7,0.2371048948167845,0.10895361338820939,43.315929455138956,7.99376353141478,2577.2361367216427
27,2573.5,0.08160090087394212,0.027207700867646505,44.18880006751408,8.10849470774229,2576.8803141767244
28,2574.9,0.10097475592265134,0.031078811592869973,45.76281453122332,7.98645937147499,2576.69171282656
29,2572.8,0.0816231026029572,-0.08155653362983309,43.76880165867679,7.823140844941082,2576.3210735097446
30,2575.3,0.16308773226895876,0.09717036024161992,46.743826438203634,7.764345070302433,2576.2238284135783
31,2573.1,0.08549994733981577,-0.07378637911208931,44.512013239802904,7.516891850995129,2575.9263209456185
32,2576.6,0.16688652996720024,0.11656818597754663,48.70781381135698,7.644256718781205,2575.99048085556
33,2590.0,0.11583007110808063,0.5200650003628846,60.898555068951644,8.298238381725417,2577.324720774078
34,2590.9,0.04245627293362073,0.03474902133242771,61.5593878720602,8.362649925887874,2578.61760450988
35,2591.2,0.02315528590797718,0.011578983527341536,61.791194407967495,8.036746359753039,2579.8159278898916
36,2588.8,0.11588376240583959,-0.09262114363183852,58.73950496893501,7.734121619770692,2580.67155380514
37,2591.0,0.019297561058448064,0.08498142576427534,60.65760251181472,7.617398646929922,2581.6552153475077
38,2592.3,0.06557880431322666,0.05017365875197199,61.78802577353791,7.401870172149207,2582.6690043620306
39,2591.5,0.06174028101860308,-0.05013882669746663,60.63344629154723,7.123165159852834,2583.510051565647
40,2583.0,0.32907459191847,-0.3203024272363643,49.95289234335024,7.278653362720502,2583.4614752260613
41,2585.9,0.030936992560802873,0.09289719647873527,52.995097093313014,7.08017812252618,2583.693715680722
42,2583.3,0.13548556672257703,-0.09668184055926964,50.05720342729807,6.910165399488615,2583.6562189492247
43,2583.8,0.038702670987432845,0.019355080960368146,50.62409085539783,6.759439299525155,2583.669912382632
44,2584.3,0.023217109771652332,0.027093966908987605,51.2203666549673,6.626622206701937,2583.729920727143
45,2588.4,0.05022405724614259,0.15865025010631145,55.92105839280519,6.731863477651792,2584.174690181701
46,2586.9,0.06185006693336578,-0.05795083528402283,53.8755237853779,6.701016086390963,2584.4342434977293
47,2588.7,0.0695329433565399,0.08118762808797758,55.95747060231777,6.829514937363037,2584.840506021755
48,2581.0,0.36419978140264536,-0.3128499042717881,46.32465437236819,7.084549584694254,2584.474743543493
49,2575.9,0.21739965938131584,-0.2014644138295951,41.258558704003235,7.328510328644664,2583.6581013012556
50,2571.7,0.2605279540662104,0.4570310714722306,37.61071221169478,8.119331019455766,2582.5192345106598
51,2574.0,0.08547005226492989,0.07776046743372184,40.70258415263473,7.9608073752088995,2581.707878842978
52,2582.2,0.050344647841131726,0.30298310170015186,50.181759458446095,8.113606848408256,2581.754747524599
53,2589.5,0.13516117584044185,0.27493793566529395,56.80224254544448,8.362634930664802,2582.4923906174945
54,2587.6,0.12753125385251365,-0.07337320974195764,54.76238846745355,8.179589578474472,2582.9788296063043
55,2584.8,0.20117602863817435,-0.09662578880462688,51.80959590778519,8.052476037154873,2583.152274405704
56,2587.4,0.15846016910405109,0.10058801431908718,54.27508703366494,8.241584891643798,2583.5568197003986
